"month_date_yyyymm","postal_code","zip_name","nielsen_hh_rank","hotness_rank","hotness_rank_mm","hotness_rank_yy","hotness_score","supply_score","demand_score","median_days_on_market","median_days_on_market_mm","median_dom_mm_day","median_days_on_market_yy","median_dom_yy_day","median_dom_vs_us","ldpviews_per_property_mm","ldpviews_per_property_yy","ldpviews_per_property_vs_us","median_listing_price","median_listing_price_mm","median_listing_price_yy","median_listing_price_vs_us"
202003,94903,"san rafael, ca",2806,2977,-1676,-705,73.348974,87.02990405,59.66804398,33,0.1379,4,0.1,3,-26.5,-0.3447,-0.0798,1.1457,794050,0.1694,-0.1416,2.4816
202003,94112,"san francisco, ca",275,330,-161,288,94.292317,97.07962742,91.50500735,21,0.9091,10,-0.125,-3,-38.5,-0.1944,0.3517,2.1126,1085050,0.0333,0.1209,3.3912
202003,94803,"el sobrante, ca",4742,972,-662,373,88.143427,83.7593669,92.52748792,35.5,0.9722,17.5,-0.1548,-6.5,-24,-0.0806,0.2169,2.1921,512550,-0.1444,-0.0832,1.6018
202003,94403,"san mateo, ca",1267,1102,-717,720,86.89334,98.69038448,75.09629526,16.5,0.65,6.5,-0.3654,-9.5,-43,-0.3343,-0.0307,1.4636,1489050,-0.0067,0.0449,4.6539
202003,94541,"hayward, ca",334,562,-474,999,91.645073,93.69703761,89.59310876,26.5,0.7667,11.5,-0.2206,-7.5,-33,-0.3435,0.1705,2,691550,0.0638,0.0352,2.1613
202003,95035,"milpitas, ca",447,3453,-1186,2137,70.477624,95.81203165,45.14321731,23.5,0.3056,5.5,-0.1296,-3.5,-36,-0.298,0.5444,0.9205,1149938.5,0.0697,0.1522,3.594
202003,94965,"sausalito, ca",7243,1803,3475,-168,81.413264,82.37971847,80.44681,36.5,-0.6117,-57.5,-0.2234,-10.5,-23,-0.2166,-0.1214,1.6291,2522550,0.011,-0.0991,7.884
202003,94526,"danville, ca",2987,353,-324,-46,94.089222,95.59492962,92.58351425,24,0.5,8,-0.2,-6,-35.5,-0.4175,-0.0829,2.1987,1399050,-0.0476,0.077,4.3726
202003,94513,"brentwood, ca",584,2380,-1814,-1730,77.410883,76.15379228,78.66797395,41,1.2778,23,0.1714,6,-18.5,-0.2484,-0.169,1.5629,682000.5,0.0348,0.0492,2.1314
202003,94608,"emeryville, ca",1753,3635,-1659,-1689,69.364101,86.35758807,52.37061419,33.5,0.8611,15.5,0.5227,11.5,-26,-0.2619,0.1071,1.0265,719050,0,0.0286,2.2472
202003,94124,"san francisco, ca",4053,1346,-711,49,85.012956,93.35387632,76.67203586,27,0.2857,6,0.2273,5,-32.5,-0.2692,0.2391,1.5099,899938,0,-0.0111,2.8126
202003,94549,"lafayette, ca",3882,1630,-1474,-1445,82.645844,74.01078507,91.28090202,42.5,1.3611,24.5,0.7,17.5,-17,-0.2512,-0.0125,2.0927,1925050,-0.0052,0.0405,6.0166
